Sampling Point Id, Country, Air Quality Station EoI Code, Longitude, Latitude, Altitude, Air Quality Station Area, Air Quality Station Type, 
SPO.01.0001.65507.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65507.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65507.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.65507.6001.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.917.7.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.917.7.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0001.917.7.1, Austria, AT10001, 16.526200000, 47.8401, 165.0, suburban, background, 
SPO.01.0002.3813.1.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3850.8.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3851.38.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3905.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3905.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3905.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3905.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3905.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.3905.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.67630.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.67630.5.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.918.7.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.918.7.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0002.918.7.1, Austria, AT10002, 16.207900000, 47.3399, 344.0, rural, background, 
SPO.01.0003.14.8.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.14.8.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.14.8.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.15.38.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.15.38.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.15.38.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.16.7.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.16.7.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.16.7.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.16.7.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.16.7.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.17.1.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.17.1.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.17.1.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.3903.5.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0003.56143.20.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.56143.20.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.56143.20.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.56143.20.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.56143.20.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.56143.20.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, background, 
SPO.01.0003.67772.6001.1, Austria, AT10003, 17.070300000, 48.1092, 136.0, suburban, industrial, 
SPO.01.0035.65230.5.1, Austria, AT10035, 16.148300000, 46.9420, 240.0, suburban, background, 
SPO.01.0035.65230.5.1, Austria, AT10035, 16.148300000, 46.9420, 240.0, suburban, background, 
SPO.01.0035.67100.7.1, Austria, AT10035, 16.148300000, 46.9420, 240.0, suburban, background, 
SPO.01.0035.67102.8.1, Austria, AT10035, 16.148300000, 46.9420, 240.0, suburban, background, 
SPO.01.1002.64140.7.1, Austria, AT11002, 16.193100000, 47.3042, 330.0, rural, background, 
SPO.01.1002.64140.7.1, Austria, AT11002, 16.193100000, 47.3042, 330.0, rural, background, 
SPO.01.1007.67201.7.1, Austria, AT11007, 16.647200000, 47.4653, 205.0, rural, background, 
SPO.01.1007.67202.5.1, Austria, AT11007, 16.647200000, 47.4653, 205.0, rural, background, 
SPO.01.0006.68626.38.1, Austria, AT12002, 16.220700000, 47.2784, 308.0, rural, traffic, 
SPO.01.0006.68627.8.1, Austria, AT12002, 16.220700000, 47.2784, 308.0, rural, traffic, 
SPO.01.0006.68628.7.1, Austria, AT12002, 16.220700000, 47.2784, 308.0, rural, traffic, 
SPO.01.0006.68635.5.1, Austria, AT12002, 16.220700000, 47.2784, 308.0, rural, background, 
SPO.02.SV14.1617.8.1, Austria, AT0133A, 14.355000000, 46.7661, 475.0, urban, background, 
SPO.02.444.4959.5012.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.4959.5012.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.4959.5012.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.55723.5018.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.55723.5018.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.55723.5018.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.55725.5014.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.55725.5014.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.55725.5014.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.66934.5012.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.66935.5014.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.444.66936.5018.1, Austria, AT20444, 13.701500000, 46.5542, 570.0, suburban, industrial, 
SPO.02.F103.66375.8.1, Austria, AT2F103, 14.266200000, 46.6528, 455.0, suburban, traffic, 
SPO.02.F103.66375.8.1, Austria, AT2F103, 14.266200000, 46.6528, 455.0, suburban, traffic, 
SPO.02.F202.2704.1.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2704.1.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
